연번,시군구,중개업소구분,중개업자명,중개업소명,사무소주소,위도,경도,데이터기준일자
156,서구,공인중개사,지종원,화랑공인중개사사무소,부산광역시 서구 대영로 39-1(서대신동2가),35.10951044,129.0157856,2022-01-14
157,서구,공인중개사,신유미,한빛공인중개사사무소,부산광역시 서구 꽃마을로 42(서대신동3가),35.11773358,129.0122785,2022-01-14
158,서구,공인중개사,서훈교,대신푸르지오부동산중개사무소,"부산광역시 서구 고운들로 181, 102 (서대신동2가, 대신 푸르지오 2차)",35.10843751,129.0136662,2022-01-14
159,서구,공인중개사,최영심,한빛공인중개사사무소,부산광역시 서구 충무대로 43(암남동),35.07890250,129.0174780,2022-01-14
160,서구,공인중개사,문찬현,토성공인중개사사무소,부산광역시 서구 임시수도기념로 3(부민동2가),35.10321332,129.0196341,2022-01-14
161,서구,공인중개사,이영주,대신공인중개사사무소,부산광역시 서구 대티로 165-1(서대신동3가),35.11282639,129.0116253,2022-01-14
162,서구,공인중개사,고경순,한결부동산중개사무소,부산광역시 서구 망양로 16-1(서대신동3가),35.11205654,129.0131406,2022-01-14
163,서구,공인중개사,이유경,스타부동산공인중개사사무소,"부산광역시 서구 고운들로 181, 상가 111호(서대신동2가, 대신푸르지오2차)",35.10843751,129.0136662,2022-01-14
164,서구,공인중개사,신동욱,신박사공인중개사사무소,"부산광역시 서구 구덕로 350, 문화아파트상가 1층(동대신동3가)",35.11502544,129.0159748,2022-01-14
165,서구,공인중개사,김미희,하나공인중개사사무소,부산광역시 서구 대영로 39-2(서대신동2가),35.10952791,129.0158516,2022-01-14
166,서구,공인중개사,강민숙,부부공인중개사사무소,부산광역시 서구 꽃마을로 40-1(서대신동3가),35.11765209,129.0123214,2022-01-14
167,서구,공인중개사,김국충,플러스공인중개사사무소,부산광역시 서구 꽃마을로 40-1(서대신동3가),35.11765209,129.0123214,2022-01-14
168,서구,공인중개사,양기영,다옴공인중개사사무소,"부산광역시 서구 흑교로109번길 14, 세경더파크 101호,102호 (부용동1가)",35.10700008,129.0206027,2022-01-14
169,서구,공인중개사,이태연,푸른공인중개사사무소,"부산광역시 서구 대영로38번길 11, 109동 107호 (서대신동1가,대우푸르지오)",35.10739824,129.0161323,2022-01-14
170,서구,공인중개사,이신복,썬공인중개사사무소,"부산광역시 서구 대신공원로 5, 101호 (동대신동3가,백민빌라2차)",35.11835771,129.0163234,2022-01-14
171,서구,공인중개사,권은혜,한별공인중개사사무소,"부산광역시 서구 대영로6번길 6, 상가 201호(서대신동2가, 서대신엔스타)",35.11041338,129.0123743,2022-01-14
172,서구,공인중개사,손실근,대신더샵부동산중개사무소,"부산광역시 서구 꽃마을로 48, 301동 201호 (서대신동3가, 대신더샵 )",35.11831115,129.0121979,2022-01-14
173,서구,공인중개사,이은주,ACE공인중개사사무소,"부산광역시 서구 구덕로 224, 103호 (부민동1가,스카이파크빌딩 )",35.10471278,129.0203329,2022-01-14
174,서구,공인중개사,황민철,뉴오션공인중개사사무소,"부산광역시 서구 구덕로185번길 34-16, 101호(아미동2가, 영신빌라)",35.10192790,129.0181373,2022-01-14
175,서구,공인중개사,장은선,비스타동원공인중개사사무소,부산광역시 서구 보수대로 161-1(동대신동1가),35.10988859,129.0222623,2022-01-14
176,서구,공인중개사,진장명,명공인중개사사무소,부산광역시 서구 부용로32번길 27-21(부용동2가),35.10649348,129.0186768,2022-01-14
177,서구,공인중개사,김해록,송도힐스테이트이진베이시티공인중개사사무소,"부산광역시 서구 충무대로 161-2, 2층(남부민동)",35.08504446,129.0245617,2022-01-14
178,서구,공인중개사,백태운,해림 공인중개사 사무소,"부산광역시 서구 부용로 1, YJ빌딩 102호(서대신동1가)",35.10910374,129.0159122,2022-01-14
179,서구,공인중개사,장명숙,한진공인중개사사무소,부산광역시 서구 대티로 177(서대신동3가),35.11185887,129.0119863,2022-01-14
180,서구,공인중개사,안세민,태양공인중개사사무소,"부산광역시 서구 구덕로 314, 동대신동2가",35.11191573,129.0170331,2022-01-14
181,서구,공인중개사,정진웅,대신롯데캐슬부동산중개사무소,"부산광역시 서구 대티로 161, 301-102(서대신동3가,대신롯데캐슬상가)",35.11663227,129.0103121,2022-01-14
182,서구,공인중개사,김수희,연성공인중개사사무소,부산광역시 서구 구덕로 255-4(부용동2가),35.10744726,129.0199502,2022-01-14
183,서구,공인중개사,안미자,우리부동산공인중개사사무소,부산광역시 서구 구덕로 194(토성동3가),35.10193897,129.0200350,2022-01-14
184,서구,공인중개사,강정희,성실공인중개사사무소,"부산광역시 서구 대영로 78, 1층(동대신동1가, 동대맨션)",35.11036991,129.0197014,2022-01-14
185,서구,공인중개사,왕소정,소정공인중개사사무소,"부산광역시 서구 구덕로 350, 20409호(동대신동3가, 문화아파트)",35.11502544,129.0159748,2022-01-14
186,서구,공인중개사,이상애,토마토부동산공인중개사사무소,부산광역시 서구 충무대로255번길 5-13(남부민동),35.09305672,129.0236421,2022-01-14
187,서구,공인중개사,이광호,제일공인중개사사무소,부산광역시 서구 구덕로 151(초장동),35.09812411,129.0202616,2022-01-14
188,서구,공인중개사,김미선,다인공인중개사사무소,부산광역시 서구 보수대로258번길 2(동대신동3가),35.11711536,129.0172075,2022-01-14
189,서구,공인중개사,최경연,삼익공인중개사사무소,"부산광역시 서구 대영로73번길 39, 103호,105호(동대신동2가, 삼익아파트 비상가)",35.11267776,129.0186003,2022-01-14
190,서구,공인중개사,유영국,세원부동산중개사무소,"부산광역시 서구 충무시장길 9, 4층 (충무동1가)",35.09592205,129.0237767,2022-01-14
