연변,시군구,중개업소명,위도,경도
620,동래구,세화공인중개사사무소,35.20226816,129.0818435
621,동래구,대지공인중개사사무소,35.2198705,129.0840435
622,동래구,e봄봄부동산중개사무소,35.20510095,129.1054928
623,동래구,매일공인중개사사무소,35.20164839,129.0561051
624,남구,부경공인중개사사무소,35.13536084,129.0955613
625,남구,모서리공인중개사사무소,35.13878192,129.1019826
626,남구,자이공인중개사사무소,35.13505693,129.0972689
627,남구,햇살공인중개사사무소,35.13625936,129.103814
628,남구,자유공인중개사사무소,35.12251163,129.0860416
629,남구,미래공인중개사사무소,35.12258565,129.1145893
630,남구,대우공인중개사사무소,35.15028937,129.0894072
631,남구,에이스공인중개사사무소,35.13262331,129.1002317
632,남구,홍익공인중개사사무소,35.12261725,129.0893343
633,남구,동일스위트공인중개사사무소,35.11913835,129.0832541
634,남구,세종부동산공인중개사사무소,35.13619217,129.0691277
635,남구,드림공인중개사사무소,35.13649182,129.0870944
636,남구,롯데부동산중개사무소,35.13509095,129.0834876
637,남구,LG공인중개사사무소,35.12692281,129.1095247
638,남구,경동부동산중개사사무소,35.15096763,129.0911612
639,남구,LG부동산공인중개사사무소,35.14372772,129.0670974
640,남구,부성공인중개사사무소,35.13665191,129.1032706
641,남구,대명공인중개사사무소,35.13754426,129.091344
642,남구,자이메트로공인중개사사무소,35.13266335,129.1096685
643,남구,금탑공인중개사사무소,35.12692281,129.1095247
644,남구,태양공인중개사사무소,35.11481973,129.1112033
645,남구,태원공인중개사사무소,35.11853863,129.1165198
646,남구,대산공인중개사사무소,35.11987515,129.1103725
647,남구,롯데캐슬부동산중개사무소,35.14090918,129.1000032
648,남구,쌍용부동산중개사무소,35.11155592,129.1103034
649,남구,롯데119부동산공인중개사사무소,35.13516794,129.0839495
650,남구,혁신행운부동산중개사무소,35.13998175,129.1038533
651,남구,신대연공인중개사사무소,35.13705082,129.0870798
652,남구,문현베스티움공인중개사사무소,35.13899275,129.0704592
653,남구,오륙도사랑부동산공인중개사사무소,35.10211316,129.1167451
654,남구,우암부동산중개사무소,35.12459624,129.0787185
655,남구,부자부동산중개사무소,35.13478404,129.094555
656,남구,우주공인중개사사무소,35.13408185,129.0934593
657,남구,이안공인중개사사무소,35.13338264,129.099002
658,남구,뉴데이공인중개사사무소,35.12692281,129.1095247
659,남구,황금부동산공인중개사사무소,35.13200376,129.1009585
660,남구,혁신행운부동산중개컨설팅사무소,35.13998175,129.1038533
661,남구,금융타운부동산공인중개사사무소,35.14288679,129.0663731
662,남구,하나부동산공인중개사사무소,35.13553247,129.0985043
663,남구,씨티공인중개사사무소,35.13621609,129.0704996
664,남구,오륙도SK뷰부동산중개사무소,35.10211316,129.1167451
665,남구,한화공인중개사사무소,35.13779084,129.0687646
666,남구,OK부동산중개사무소,35.13463406,129.0961879
667,남구,미소부동산공인중개사사무소,35.13569179,129.0878518
668,남구,이기대부동산공인중개사사무소,35.10211316,129.1167451
669,남구,신세기부동산중개사무소,35.11573611,129.1115339
670,남구,돈되는부동산공인중개사사무소,35.11322612,129.1119825
671,남구,우영부동산공인중개사사무소,35.12684644,129.0709693
672,남구,삼성부동산중개사무소,35.13888354,129.0807178
